Unit ID,School ID,School Name,Chamber,District,Legislator,Ward Number,Immediate Capital Needs,Total Capital Needs,Operational Budget FY25,Operations 7% Cut,Operations 15% Cut,Positions,Positions 7% Cut,Positions 15% Cut,SPED Positions,SPED Positions 7% Cut,SPED Positions 15% Cut,Total FY25,Position loss/gain (budgeted),Position loss/gain (% of FY25 positions),Total CTU,CTU layoffs (budgeted),CTU layoffs (% of CTU positions),Total SPED,SPED position loss/gain (budgeted),SPED position loss/gain (% of FY25 SPED positions),ward,alderman
66394.0,400085,ACERO - GARCIA HS,IL House,1,"Ortiz, Aaron",14,,,11487914.46,804154.0122000001,1723187.169,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
66399.0,400112,ACERO - IDAR,IL House,1,"Ortiz, Aaron",14,,,9486999.25,664089.9475000001,1423049.8875,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
66137.0,400149,ACERO - SOTO HS,IL House,1,"Ortiz, Aaron",14,,,10231046.24,716173.2368000001,1534656.936,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
66391.0,400084,ACERO - TAMAYO,IL House,1,"Ortiz, Aaron",14,,,4945268.53,346168.7971,741790.2795,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
66396.0,400080,ACERO - TORRES,IL House,1,"Ortiz, Aaron",14,,,9841689.86,688918.2902,1476253.479,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
66395.0,400079,ACERO - ZIZUMBO,IL House,1,"Ortiz, Aaron",14,,,9561848.03,669329.3621,1434277.2045,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
46551.0,610563,BACK OF THE YARDS HS,IL House,1,"Ortiz, Aaron",12,0.0,5300000.0,12567641.63,879734.9141,1885146.2445,119.0,8.33,17.849999999999998,16.0,1.12,2.4,115.0,-10.0,0.08695652173913043,93.0,-3.0,0.03225806451612903,16.5,-4.5,0.2727272727272727,12,"Ramirez, Julia M."
22601.0,609842,CARSON,IL House,1,"Ortiz, Aaron",15,3600000.0,30700000.0,9041576.85,632910.3795,1356236.5274999999,91.0,6.370000000000001,13.65,10.5,0.7350000000000001,1.575,87.0,-9.0,0.10344827586206896,64.0,-2.0,0.03125,11.0,0.5,0.045454545454545456,15,"Lopez, Raymond A."
30031.0,609855,CHRISTOPHER,IL House,1,"Ortiz, Aaron",15,9000000.0,16900000.0,11747613.93,822332.9751,1762142.0895,134.0,9.38,20.099999999999998,100.0,7.000000000000001,15.0,130.0,-10.0,0.07692307692307693,40.0,-0.0,0.0,102.0,-9.5,0.09313725490196079,15,"Lopez, Raymond A."
53101.0,609756,CURIE HS,IL House,1,"Ortiz, Aaron",14,17800000.0,62800000.0,34704828.54,2429337.9978000005,5205724.2809999995,303.0,21.21,45.449999999999996,50.5,3.535,7.574999999999999,294.0,-15.0,0.05102040816326531,230.0,-5.0,0.021739130434782608,56.0,-6.5,0.11607142857142858,14,"Gutierrez, Jeylu B."
23041.0,609898,EBERHART,IL House,1,"Ortiz, Aaron",14,3200000.0,36100000.0,12709094.450000001,889636.6115000001,1906364.1675,113.5,7.945000000000001,17.025,21.0,1.4700000000000002,3.15,112.5,-11.5,0.10222222222222223,81.0,-2.0,0.024691358024691357,21.5,-2.5,0.11627906976744186,14,"Gutierrez, Jeylu B."
23081.0,609903,EDWARDS,IL House,1,"Ortiz, Aaron",14,800000.0,29400000.0,17009413.3,1190658.931,2551411.995,162.5,11.375000000000002,24.375,56.0,3.9200000000000004,8.4,159.5,-13.5,0.08463949843260188,101.0,-3.0,0.0297029702970297,57.5,-13.5,0.23478260869565218,14,"Gutierrez, Jeylu B."
23141.0,609909,EVERETT,IL House,1,"Ortiz, Aaron",12,0.0,13800000.0,3104147.4,217290.31800000003,465622.11,26.0,1.8200000000000003,3.9,7.0,0.49000000000000005,1.05,25.0,-2.0,0.08,16.0,-0.0,0.0,7.0,-2.0,0.2857142857142857,12,"Ramirez, Julia M."
46141.0,609709,GAGE PARK HS,IL House,1,"Ortiz, Aaron",15,17600000.0,63300000.0,6687606.82,468132.47740000003,1003141.0229999999,62.5,4.375,9.375,17.0,1.1900000000000002,2.55,61.5,-4.0,0.06504065040650407,38.0,-0.0,0.0,17.5,-3.0,0.17142857142857143,15,"Lopez, Raymond A."
63011.0,400009,GLOBAL CITIZENSHIP,IL House,1,"Ortiz, Aaron",22,,,8508050.370000001,595563.5259000001,1276207.5555,,,,,,,,,,,,,,,,22,"Rodriguez, Michael D."
23671.0,609981,HEARST,IL House,1,"Ortiz, Aaron",22,8199999.999999999,31700000.0,6732313.1,471261.9170000001,1009846.965,68.0,4.760000000000001,10.2,36.0,2.5200000000000005,5.3999999999999995,67.0,-3.0,0.04477611940298507,32.0,-0.0,0.0,39.0,-5.0,0.1282051282051282,22,"Rodriguez, Michael D."
22441.0,610532,HERNANDEZ,IL House,1,"Ortiz, Aaron",14,0.0,23200000.0,9018707.64,631309.5348,1352806.146,76.0,5.32,11.4,11.0,0.77,1.65,75.0,-6.0,0.08,56.0,-0.0,0.0,11.5,1.5,0.13043478260869565,14,"Gutierrez, Jeylu B."
63181.0,400167,HORIZON - SOUTHWEST,IL House,1,"Ortiz, Aaron",15,,,13430755.649999999,940152.8955,2014613.3475,4.0,0.28,0.6,,,,,,,,,,,,,15,"Lopez, Raymond A."
25631.0,610203,MONARCAS ACADEMY,IL House,1,"Ortiz, Aaron",14,3400000.0,29600000.0,10946626.09,766263.8263000001,1641993.9135,92.0,6.44,13.799999999999999,16.0,1.12,2.4,90.0,-4.0,0.044444444444444446,66.0,-0.0,0.0,17.0,-5.0,0.29411764705882354,14,"Gutierrez, Jeylu B."
24671.0,610096,NIGHTINGALE,IL House,1,"Ortiz, Aaron",14,18400000.0,45400000.0,11824211.22,827694.7854,1773631.683,105.0,7.3500000000000005,15.75,19.0,1.33,2.85,101.0,-1.5,0.01485148514851485,74.0,-2.0,0.02702702702702703,20.0,1.5,0.075,14,"Gutierrez, Jeylu B."
66579.0,400179,NOBLE - MANSUETO HS,IL House,1,"Ortiz, Aaron",14,,,19109244.65,1337647.1255,2866386.6975,,,,,,,,,,,,,,,,14,"Gutierrez, Jeylu B."
